"pkg_name","pkg_version","pkg_source_path","date_time","executor","sysname","version","release","machine","comments","has_bug_reports_url","license","has_examples","has_maintainer","size_codebase","has_news","has_source_control","has_vignettes","has_website","news_current","export_help","export_calc","check","covr","dependencies","dep_score","revdep_score","overall_risk_score","risk_profile"
"MultiGroupSequential","1.1.0","/tmp/RtmpdVORqw/temp_file_5ad5332b0143/MultiGroupSequential","3/29/2024 11:09","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,1,1,0.282485876,1,0,0,0,1,1,0.578004171,0.75,0,"stats#OpenMx#hommel#Imports#Imports#Imports",3.3535e-4,0.096558006,0.5906481084210526,"High"
"pandoc","0.2.0","/tmp/RtmpdVORqw/temp_file_5ad54072c6a7/pandoc-0.2.0","3/29/2024 11:11","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,1,1,0.134288272,1,1,1,1,1,1,0.42280978,0.75,0.1385,"fs#rappdirs#rlang (>= 1.0.1)#covr#gh#rmarkdown (>= 2.14)#testthat (>= 3.0.0)#tibble#withr#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.006692851,0.202612968,0.3935521404842105,"High"
"pkglite","0.2.1","/tmp/RtmpdVORqw/temp_file_5ad53eb89507/pkglite-0.2.1","3/29/2024 11:13","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,1,1,0.206043956,1,1,1,1,1,0.964285714,0.481789145,0.75,0.9438,"crayon#magrittr#remotes#knitr#rmarkdown#testthat#covr#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests",0.002472623,0.096558006,0.29050613155789473,"Medium"
"purrr","1.0.2","/tmp/RtmpdVORqw/temp_file_5ad5725491a1/purrr-1.0.2","3/29/2024 11:14","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,0.9375,1,0.047288777,1,1,1,1,1,0.984126984,0.100930174,0.4,0.9234,"cli (>= 3.6.1)#lifecycle (>= 1.0.3)#magrittr (>= 1.5.0)#rlang (>= 1.1.1)#vctrs (>= 0.6.3)#covr#dplyr (>= 0.7.8)#httr#knitr#lubridate#rmarkdown#testthat (>= 3.0.0)#tibble#tidyselect#cli#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#LinkingTo",0.119202922,0.999999995,0.34418723210526314,"Medium"
"utf8","1.2.3","/tmp/RtmpM4RrZl/temp_file_4d2f55dfd85d/r-utf8-1.2.3","3/29/2024 11:31","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,1,1,0.206327373,1,1,1,1,1,1,0.622459331,0.65,0.7197,"cli#covr#knitr#rlang#rmarkdown#testthat (>= 3.0.0)#withr#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.002472623,0.096558006,0.3271643257052632,"Medium"
"rhino","1.5.0","/tmp/RtmpM4RrZl/temp_file_4d2f9933a9d/rhino-1.5.0","3/29/2024 11:32","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,1,1,0.176470588,1,1,1,1,1,1,0.569976228,0,0,"box (>= 1.1.3)#cli#config#fs#glue#lintr (>= 3.0.0)#logger#purrr#renv#rstudioapi#sass#shiny#styler#testthat (>= 3.0.0)#utils#withr#yaml#covr#knitr#mockery#rcmdcheck#rmarkdown#shiny.react#spelling#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.92414182,0.149813063,0.4260333516842105,"High"
"riskmetric","0.2.1","/tmp/RtmpM4RrZl/temp_file_4d2f24d56005/riskmetric-0.2.1","3/29/2024 11:34","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,1,1,0.079744817,1,1,1,1,1,1,0.448251474,0.75,0.5391,"backports#utils#tools#xml2#httr#curl#urltools#memoise#BiocManager#cranlogs#covr#vctrs#pillar#tibble#pkgload#devtools#knitr#rmarkdown#withr#magrittr#dplyr#testthat#webmockr#jsonlite#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.92414182,0.096558006,0.24983453288421054,"Low"
"herald","1.0.2","/tmp/RtmpM4RrZl/temp_file_4d2f473789c2/sih-package-herald-1.0.2","3/29/2024 11:41","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,1,1,0.023663038,1,0,1,0,1,0.898550725,0.224876921,0,0,"methods#dplyr#forcats#ggplot2#magrittr#purrr#rlang#tibble#tidyr#mvtnorm#officer#scales#pkgconfig#numDeriv#geomtextpath#ggrepel#knitr#patchwork#rmarkdown#testthat (>= 3.0.0)#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests",0.622459331,0.096558006,0.5894097678105263,"High"
"stringr","1.5.1","/tmp/RtmpM4RrZl/temp_file_4d2f63816ce4/stringr-1.5.1","3/29/2024 11:45","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,1,1,0.081699346,1,1,1,1,1,0.983050847,0.338432706,0.75,0.9949,"cli#glue (>= 1.6.1)#lifecycle (>= 1.0.3)#magrittr#rlang (>= 1.0.0)#stringi (>= 1.5.3)#vctrs (>= 0.4.0)#covr#dplyr#gt#htmltools#htmlwidgets#knitr#rmarkdown#testthat (>= 3.0.0)#tibble#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.182425524,0.999999999,0.25657066490526315,"Medium"
"styler","1.10.2","/tmp/RtmpM4RrZl/temp_file_4d2f4e889ca9/styler-1.10.2","3/29/2024 11:46","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,0.990521327,1,0.033474671,1,1,1,1,1,1,0.470208731,0.65,0.9208,"cli (>= 3.1.1)#magrittr (>= 2.0.0)#purrr (>= 0.2.3)#R.cache (>= 0.15.0)#rlang (>= 1.0.0)#rprojroot (>= 1.1)#tools#vctrs (>= 0.4.1)#withr (>= 2.3.0)#data.tree (>= 0.1.6)#digest#here#knitr#prettycode#rmarkdown#roxygen2#rstudioapi (>= 0.7)#tibble (>= 1.4.2)#testthat (>= 3.0.0)#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.5,0.753623859,0.25004471640000003,"Medium"
"teal.builder.checks","0.0.3","/tmp/Rtmp4727TL/temp_file_111717d05811/teal.builder.checks","3/29/2024 12:15","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",1,0,1,1,0.178997613,1,1,1,1,0,1,0.519339362,0.65,0.9538,"magrittr#purrr (>= 1.0.0)#checkmate (>= 2.1.0)#lubridate#stringr#dplyr#vctrs#testthat (>= 3.0.0)#quickcheck#knitr#rmarkdown#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests",0.01798621,0.096558006,0.30145341039999995,"Medium"
"testthat","3.2.1","/tmp/Rtmp4727TL/temp_file_111713d26c60/testthat-3.2.1","3/29/2024 12:17","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,0.836734694,1,0.020355543,1,1,1,1,1,0.994708995,0.100930174,0,0,"brio (>= 1.1.3)#callr (>= 3.7.3)#cli (>= 3.6.1)#desc (>= 1.4.2)#digest (>= 0.6.33)#evaluate (>= 0.21)#jsonlite (>= 1.8.7)#lifecycle (>= 1.0.3)#magrittr (>= 2.0.3)#methods#pkgload (>= 1.3.2.1)#praise (>= 1.0.0)#processx (>= 3.8.2)#ps (>= 1.7.5)#R6 (>= 2.5.1)#rlang (>= 1.1.1)#utils#waldo (>= 0.5.1)#withr (>= 2.5.0)#covr#curl (>= 0.9.5)#diffviewer (>= 0.1.0)#knitr#rmarkdown#rstudioapi#shiny#usethis#vctrs (>= 0.1.0)#xml2#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.993307149,1,0.44114812747368426,"High"
"tibble","3.2.1","/tmp/Rtmp4727TL/temp_file_1117ab96936/tibble-3.2.1","3/29/2024 12:18","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,0.869565217,1,0.052228412,1,1,1,1,1,0.977777778,0.394830749,0.55,0.821,"fansi (>= 0.4.0)#lifecycle (>= 1.0.0)#magrittr#methods#pillar (>= 1.8.1)#pkgconfig#rlang (>= 1.0.2)#utils#vctrs (>= 0.4.2)#bench#bit64#blob#brio#callr#cli#covr#crayon (>= 1.3.4)#DiagrammeR#dplyr#evaluate#formattable#ggplot2#here#hms#htmltools#knitr#lubridate#mockr#nycflights13#pkgbuild#pkgload#purrr#rmarkdown#stringi#testthat (>= 3.0.2)#tidyr#withr#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.999876605,0.999999999,0.23414067852631582,"Low"
"vctrs","0.6.5","/tmp/Rtmp4727TL/temp_file_1117589d676c/vctrs-0.6.5","3/29/2024 12:22","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,0.870967742,1,0.019275251,1,1,1,1,1,0.994736842,0.100109168,0.65,0.8461,"cli (>= 3.4.0)#glue#lifecycle (>= 1.0.3)#rlang (>= 1.1.0)#bit64#covr#crayon#dplyr (>= 0.8.5)#generics#knitr#pillar (>= 1.4.4)#pkgdown (>= 2.0.1)#rmarkdown#testthat (>= 3.0.0)#tibble (>= 3.1.3)#waldo (>= 0.2.0)#withr#xml2#zeallot#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.5,0.998014108,0.28080573477894744,"Medium"
"waldo","0.5.2","/tmp/Rtmp4727TL/temp_file_11172cd50b4c/waldo-0.5.2","3/29/2024 12:27","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,1,1,0.120481928,1,1,0,1,1,1,0.710218733,0.75,0.9412,"cli#diffobj (>= 0.3.4)#fansi#glue#methods#rematch2#rlang (>= 1.0.0)#tibble#covr#R6#testthat (>= 3.0.0)#withr#xml2#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests",0.047425873,0.577725137,0.3526640879157895,"High"
"xlsx","0.6.5","/tmp/Rtmp4727TL/temp_file_111745c07ebf/xlsx-0.6.5","3/29/2024 12:28","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,1,1,0.098425197,0,1,1,1,0,1,0.291935783,0.75,0.7633,"rJava#xlsxjars#grDevices#utils#rprojroot#testthat#covr#tibble#knitr#rmarkdown#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.010986943,0.77347423,0.3933909283157895,"High"
"synapser","0.2.1","/tmp/Rtmpt5c0tM/temp_file_7bdf58947fb0/synapser","3/29/2024 14:53","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",1,0,1,1,0.067024129,0,0,1,1,0,1,0.586280996,0,0,"cli#curl#magrittr#haven#httr2#stringr#fs#purrr#checkmate#shiny#shinyWidgets#dplyr#shinyjs#shinyBS#bslib#withr#testthat (>= 3.0.0)#tibble#httptest2#knitr#rmarkdown#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.731058579,0.096558006,0.5145587126105263,"High"
"teal.builder.checks","0.0.1","/tmp/Rtmpt5c0tM/temp_file_7bdf4b34bf58/teal.builder.checks","3/29/2024 15:03","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,1,1,0.164835165,1,0,1,1,1,1,0.519339362,0.65,0.9587,"magrittr#purrr (>= 1.0.0)#checkmate (>= 2.1.0)#lubridate#stringr#dplyr#vctrs#testthat (>= 3.0.0)#quickcheck#knitr#rmarkdown#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests",0.01798621,0.096558006,0.32248340821052635,"Medium"
"Tplyr","1.1.0","/tmp/Rtmpduc8xH/temp_file_4feb1e1a815b/Tplyr-1.1.0","3/29/2024 15:19","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,1,1,0.037678975,1,1,1,1,1,0.988636364,0.25063887,0,0,"rlang (>= 0.4.6)#assertthat (>= 0.2.1)#magrittr (>= 1.5)#dplyr (>= 1.0.0)#purrr (>= 0.3.3)#stringr (>= 1.4.0)#tidyr (>= 1.0.2)#tidyselect (>= 1.1.0)#tibble (>= 3.0.1)#lifecycle#forcats (>= 0.4.0)#testthat (>= 2.1.0)#haven (>= 2.2.0)#knitr#rmarkdown#huxtable#tidyverse#readr#kableExtra#pharmaRTF#withr#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.731058579,0.178145726,0.4655295360210526,"High"
"admiral","1.0.0","/tmp/Rtmpv7pcph/temp_file_551b7f67c196/admiral","3/29/2024 15:26","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",1,0,0.987012987,1,0.022364694,1,1,1,1,1,0.992857143,0.153418124,0.5,0.979,"admiraldev (>= 1.0.0)#dplyr (>= 1.0.5)#hms (>= 0.5.3)#lifecycle (>= 0.1.0)#lubridate (>= 1.7.4)#magrittr (>= 1.5)#purrr (>= 0.3.3)#rlang (>= 0.4.4)#stringr (>= 1.4.0)#tidyr
(>= 1.0.2)#tidyselect (>= 1.1.0)#diffdf#DT#htmltools#knitr#methods#pharmaversesdtm (>=
0.2.0)#reactable#readxl#rmarkdown#testthat (>= 3.0.0)#tibble#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.817574476,0.202612968,0.21684595330526324,"Low"
"rtables","0.6.6","/tmp/Rtmpv7pcph/temp_file_551b647433ff/rtables","3/29/2024 15:32","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",1,0,0.974358974,1,0.011719666,1,1,1,1,1,0.87732342,0.103442602,0.3,0.9085,"formatters (>= 0.5.5)#magrittr (>= 1.5)#methods#checkmate (>= 2.1.0)#htmltools (>= 0.5.4)#stats#stringi (>=
1.6)#broom (>= 0.7.10)#car (>= 3.0-13)#dplyr (>= 1.0.5)#flextable (>= 0.8.4)#knitr (>= 1.42)#officer (>= 0.5.0)#r2rtf (>= 0.3.2)#survival (>= 3.3-1)#testthat (>= 3.0.4)#tibble (>= 3.2.1)#tidyr (>= 1.1.3)#xml2 (>= 1.1.0)#Depends#Depends#Depends#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.5,0.305370161,0.297078369831579,"Medium"
"synapser","0.2.1","/tmp/Rtmpv7pcph/temp_file_551b41da1b98/synapser","3/29/2024 15:41","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",1,0,1,1,0.067024129,0,0,1,1,0,1,0.586280996,0,0,"cli#curl#magrittr#haven#httr2#stringr#fs#purrr#checkmate#shiny#shinyWidgets#dplyr#shinyjs#shinyBS#bslib#withr#testthat (>= 3.0.0)#tibble#httptest2#knitr#rmarkdown#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.731058579,0.096558006,0.5145587126105263,"High"
"teal.builder.modules","0.0.3","/tmp/Rtmpv7pcph/temp_file_551bf11f656/teal.builder.modules","3/29/2024 15:43","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,1,1,0.118858954,0,0,0,0,0,0.9375,0.381767974,0,0.9792,"teal.builder.checks#teal (>= 0.13.0)#teal.data (>= 0.2.0)#teal.code (>= 0.3.0)#teal.reporter (>= 0.1.1)#teal.widgets
(>= 0.3.0)#teal.transform (>= 0.3.0)#teal.modules.general (>=
0.2.15)#teal.modules.clinical (>= 0.8.15)#tern (>= 0.8.2)#rtables (>= 0.6.1)#formatters (>= 0.5.0)#dplyr#ggplot2#purrr (>= 1.0.0)#magrittr#rlang#stringr#testthat (>= 3.0.0)#random.cdisc.data#ggpmisc#ggpp#sparkline#waldo#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.92414182,0.096558006,0.5901321902736842,"High"
"teal.modules.clinical","0.8.16","/tmp/Rtmpv7pcph/temp_file_551b22543da/teal.modules.clinical","3/29/2024 15:47","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",1,0,0.981818182,1,0.006947661,1,1,1,1,1,1,0.338432706,0.3,0,"teal (>= 0.14.0)#tern (>= 0.8.2)#assertthat#broom#checkmate#dplyr#DT#formatters (>=
0.5.0)#ggplot2 (>= 3.4.0)#ggrepel#grid#lifecycle#logger
(>= 0.2.0)#magrittr#methods#rlang#rmarkdown#rtables (>=
0.6.1)#scales#shiny#shinyjs#shinyvalidate#shinyWidgets#stats#styler#teal.code (>= 0.4.0)#teal.logger (>= 0.1.1)#teal.reporter (>= 0.2.0)#teal.transform (>= 0.4.0)#teal.widgets (>= 0.4.0)#tern.gee (>= 0.1.0)#tern.mmrm (>=
0.2.1)#tidyr#utils#vistime#forcats#knitr#lubridate#nestcolor (>= 0.1.0)#teal.data
(>= 0.3.0)#testthat (>= 3.0)#Depends#Depends#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.999983299,0.096558006,0.34811562183157896,"Medium"
"teal.modules.general","0.2.16","/tmp/Rtmpv7pcph/temp_file_551b2b06fd94/teal.modules.general","3/29/2024 15:53","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,0.976190476,1,0.016109977,1,0,1,0,1,1,0.554587455,0.4,0.0229,"ggmosaic (>= 0.3.0)#ggplot2#shiny#shinyTree#teal (>= 0.14.0)#checkmate#dplyr#DT#forcats (>= 1.0.0)#grid#logger (>=
0.2.0)#magrittr#scales#shinyjs#shinyvalidate#shinyWidgets#stats#stringr#teal.code (>= 0.4.0)#teal.logger (>= 0.1.1)#teal.reporter (>= 0.2.0)#teal.slice (>= 0.4.0)#teal.transform
(>= 0.4.0)#teal.widgets (>= 0.4.0)#tern (>= 0.7.10)#tibble#tidyr#tidyselect#utils#broom#colourpicker#ggExtra#ggpmisc (>= 0.4.3)#ggpp#goftest#gridExtra#htmlwidgets#jsonlite#knitr#lattice#MASS#methods#nestcolor (>= 0.1.0)#rlang#rmarkdown#rtables
(>= 0.5.1)#sparkline#teal.data (>= 0.3.0)#testthat (>= 2.0)#Depends#Depends#Depends#Depends#Depends#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.999999694,0.096558006,0.46778708960000004,"High"
"synapser","0.3.0","/tmp/RtmpUylicv/temp_file_2fe2749f3396/bp-art-synapser-0.3.0","3/29/2024 16:00","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,1,1,0.056969237,0,0,1,1,0,1,0.547194051,0,0,"cli#curl#magrittr#haven#httr2#stringr#fs#purrr#checkmate#shiny#shinyWidgets#dplyr#shinyjs#shinyBS#bslib#withr#testthat (>= 3.0.0)#tibble#httptest2#knitr#rmarkdown#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.731058579,0.096558006,0.5587331057473685,"High"
"teal.builder","0.0.6","/tmp/RtmpUylicv/temp_file_2fe23bf1282c/bp-art-teal.builder-0.0.6","3/29/2024 16:02","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,1,1,0.04049676,0,1,0,1,0,0.5,0.679178699,0,0,"shiny#teal (>= 0.12.0)#teal.builder.checks#teal.builder.modules#synapser#dplyr#tibble#tidyr#stringr#purrr#rlang#magrittr#ggplot2#config#maybe#checkmate#stringr (>= 1.4.0)#fs#synapser#memoise#haven#bslib#bsicons#sparkline#forcats#pins#ggpmisc#formatR#withr#pkgload#testthat (>= 3.0.0)#utils#httptest2#pkgdown#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests",0.999447221,0.096558006,0.6098285257052631,"High"
"dplyr","1.1.0","/tmp/RtmpKtNrxv/temp_file_4e9143b40828/dplyr-1.1.0","3/29/2024 16:21","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,0.938596491,1,0.015191412,1,1,1,1,1,0.993174061,0.046119142,0,0,"cli (>= 3.4.0)#generics#glue (>= 1.3.2)#lifecycle (>= 1.0.3)#magrittr (>= 1.5)#methods#pillar (>= 1.5.1)#R6#rlang (>= 1.0.6)#tibble (>= 2.1.3)#tidyselect (>= 1.2.0)#utils#vctrs (>= 0.5.2)#bench#broom#callr#covr#DBI#dbplyr (>= 2.2.1)#ggplot2#knitr#Lahman#lobstr#microbenchmark#nycflights13#purrr#rmarkdown#RMySQL#RPostgreSQL#RSQLite#stringi (>= 1.7.6)#testthat (>= 3.1.5)#tidyr (>= 1.3.0)#withr#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.999447221,1,0.43451386738947373,"High"
"circlize","0.4.13","/tmp/RtmpNeflV6/temp_file_331b2fb1e50d/circlize","4/11/2024 11:29","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,1,1,0.019480519,0,1,1,1,0,1,0.19849118,0,0.0023,"graphics#GlobalOptions (>= 0.1.2)#shape#grDevices#utils#stats#colorspace#methods#grid#knitr#dendextend (>= 1.0.1)#ComplexHeatmap (>= 2.0.0)#gridBase#png#markdown#bezier#Depends#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.182425524,0.964743089,0.5931239135368421,"High"
"ComplexHeatmap","2.9.4","/tmp/RtmpbDw86j/temp_file_62d5a9e25d/ComplexHeatmap","4/11/2024 12:12","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","May 2024 update risk scores with rev dep",0,0,1,1,0.008133608,0,1,1,1,0,0.995169082,0.113327972,0,0,"methods#grid#graphics#stats#grDevices#circlize (>= 0.4.5)#GetoptLong#colorspace#clue#RColorBrewer#GlobalOptions (>= 0.1.0)#png#digest#IRanges#matrixStats#foreach#doParallel#testthat (>= 1.0.0)#knitr#markdown#dendsort#jpeg#tiff#fastcluster#EnrichedHeatmap#dendextend (>= 1.0.1)#grImport#grImport2#glue#GenomicRanges#gridtext#pheatmap (>= 1.0.12)#gridGraphics#gplots#rmarkdown#Cairo#Depends#Depends#Depends#Depends#Depends#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.999796573,0.95794591,0.5117854716000001,"High"
