"","pkg_name","pkg_version","pkg_source_path","date_time","executor","sysname","version","release","machine","comments","has_bug_reports_url","license","has_examples","has_maintainer","size_codebase","has_news","has_source_control","has_vignettes","has_website","news_current","export_help","export_calc","check","covr","dependencies","dep_score","revdep_score","overall_risk_score","risk_profile"
"1","checkmate","2.3.1","/tmp/RtmpdVORqw/temp_file_5ad553f236ae/checkmate-2.3.1","2024-03-29 10:34:04","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,1,1,0.100401606425703,1,1,1,1,1,0.997297297297297,0.0276834673086896,0.55,0.9569,"backports (>= 1.1.0)#utils#R6#fastmatch#data.table (>= 1.9.8)#devtools#ggplot2#knitr#magrittr#microbenchmark#rmarkdown#testthat (>= 3.0.4)#tinytest (>= 1.1.0)#tibble#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.0758581800212435,0.99955914846469,0.322656867910331,"Medium"
"2","covr","3.6.0","/tmp/RtmpdVORqw/temp_file_5ad533af8d3e/covr-3.6.0","2024-03-29 10:36:14","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,1,1,0.060557125555107,1,1,1,1,1,1,0.532943707051472,0,0,"methods#digest#stats#utils#jsonlite#rex#httr#crayon#withr (>= 1.0.2)#yaml#R6#curl#knitr#rmarkdown#htmltools#DT (>= 0.2)#testthat#rlang#rstudioapi (>= 0.2)#xml2 (>= 1.0.0)#parallel#memoise#mockery#covr#Depends#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.924141819978757,0.999999999655856,0.423490091072969,"High"
"3","diffdf","1.0.4","/tmp/RtmpdVORqw/temp_file_5ad5148d0a2c/diffdf-1.0.4","2024-03-29 10:40:16","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,1,1,0.179425837320574,1,1,1,1,1,1,0.693596453153698,0.75,0.9162,"tibble#testthat#lubridate#knitr#rmarkdown#purrr#dplyr#stringi#stringr#devtools#covr#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.0179862099620916,0.286347033870421,0.269716653101957,"Medium"
"4","DT","0.32","/tmp/RtmpdVORqw/temp_file_5ad576681d7a/DT-0.32","2024-03-29 10:42:01","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,0.916666666666667,1,0.0869061413673233,1,1,1,1,1,0.976190476190476,0.408496277612912,0.65,0.4771,"htmltools (>= 0.3.6)#htmlwidgets (>= 1.3)#httpuv#jsonlite (>= 0.9.16)#magrittr#crosstalk#jquerylib#promises#knitr (>= 1.8)#rmarkdown#shiny (>= 1.6)#bslib#future#testit#tibble#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.119202922022118,0.9999149442682,0.356054471674867,"High"
"5","ggiraph","0.7.10","/tmp/RtmpdVORqw/temp_file_5ad51bfd150b/ggiraph-0.7.10","2024-03-29 10:44:15","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,0.972602739726027,1,0.0515641113784806,0,0,1,1,0,1,0.0826264646671259,0,0,"grid#ggplot2 (>= 3.3.0)#htmlwidgets (>= 0.6)#stats#htmltools#Rcpp (>= 0.12.12)#systemfonts#purrr#rlang#uuid#Rcpp#systemfonts#knitr#testthat#rmarkdown#maps#shiny#sf (>= 0.7-3)#quantreg#xml2 (>= 1.0.0)#dplyr#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#LinkingTo#LinkingTo#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.731058578630005,0.471344526881543,0.573890645072143,"High"
"6","ggplot2","3.4.4","/tmp/RtmpdVORqw/temp_file_5ad543d67989/ggplot2-3.4.4","2024-03-29 10:47:35","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,0.989583333333333,1,0.00774393391843056,1,1,1,1,1,0.996268656716418,0.0105824606447367,0,0,"cli#glue#grDevices#grid#gtable (>= 0.1.1)#isoband#lifecycle (> 1.0.1)#MASS#mgcv#rlang (>= 1.1.0)#scales (>= 1.2.0)#stats#tibble#vctrs (>= 0.5.0)#withr (>= 2.5.0)#covr#dplyr#ggplot2movies#hexbin#Hmisc#knitr#lattice#mapproj#maps#multcomp#munsell#nlme#profvis#quantreg#ragg#RColorBrewer#rmarkdown#rpart#sf (>= 0.7-3)#svglite (>= 1.2.0.9001)#testthat (>= 3.1.2)#vdiffr (>= 1.0.0)#xml2#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.999925153772489,1,0.441136576241829,"High"
"7","glue","1.7.0","/tmp/RtmpdVORqw/temp_file_5ad56e279fc3/glue-1.7.0","2024-03-29 10:57:08","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,0.888888888888889,1,0.217706821480406,1,1,1,1,1,1,0.562176500885798,0,0.9853,"methods#crayon#DBI (>= 1.2.0)#dplyr#knitr#magrittr#rlang#rmarkdown#RSQLite#testthat (>= 3.2.0)#vctrs (>= 0.3.0)#waldo (>= 0.3.0)#withr#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.0474258731775668,0.999991566944218,0.392166632985467,"High"
"8","here","1.0.1","/tmp/RtmpdVORqw/temp_file_5ad553807524/here-1.0.1","2024-03-29 10:58:23","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,1,1,0.531914893617021,1,1,1,1,1,1,0.679178699175393,0.65,0.9867,"rprojroot (>= 2.0.2)#conflicted#covr#fs#knitr#palmerpenguins#plyr#readr#rlang#rmarkdown#testthat#uuid#withr#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.0474258731775668,0.955016576583672,0.25904265480704,"Medium"
"9","httr2","1.0.0","/tmp/RtmpdVORqw/temp_file_5ad527ccdaea/httr2-1.0.0","2024-03-29 10:59:29","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,0.984848484848485,1,0.0319693094629156,1,1,1,1,1,0.991869918699187,0.179073958334289,0,0,"cli (>= 3.0.0)#curl (>= 5.1.0)#glue#lifecycle#magrittr#openssl#R6#rappdirs#rlang (>= 1.1.0)#vctrs (>= 0.6.3)#withr#askpass#bench#clipr#covr#docopt#httpuv#jose#jsonlite#knitr#rmarkdown#testthat (>= 3.1.8)#tibble#webfakes#xml2#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.952574126822433,0.929939306316638,0.438535678569916,"High"
"10","knitr","1.45","/tmp/RtmpdVORqw/temp_file_5ad53d6b32f6/knitr-1.45","2024-03-29 11:01:58","u1004798","Linux","#1 SMP Tue Aug 18 14:50:17 EDT 2020","3.10.0-1160.el7.x86_64","x86_64","Initial run March - April 2024 without rev deps",0,0,1,1,0.0237379332172812,1,0,1,1,1,1,0.167920328598367,0,0.3904,"evaluate (>= 0.15)#highr#methods#tools#xfun (>= 0.39)#yaml (>= 2.1.19)#bslib#codetools#DBI (>= 0.4-1)#digest#formatR#gifski#gridSVG#htmlwidgets (>= 0.7)#curl#jpeg#JuliaCall (>= 0.11.1)#magick#markdown (>= 1.3)#png#ragg#reticulate (>= 1.4)#rgl (>= 0.95.1201)#rlang#rmarkdown#sass#showtext#styler (>= 1.2.0)#targets (>= 0.6.0)#testit#tibble#tikzDevice (>= 0.10)#tinytex (>= 0.46)#webshot#rstudioapi#svglite#xml2 (>= 1.2.0)#Imports#Imports#Imports#Imports#Imports#Imports#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests#Suggests",0.999876605424014,1,0.403761299983842,"High"
